9	0.2321		0.3777
9	0.0000		0.3779273
49	-0.4846		0.3722
89	0.3426		0.3774
129	0.2787		0.3694
169	-0.0195		0.4570
209	-0.4551		0.4299
249	-0.4110		0.4184
289	-0.2646		0.4166
329	-0.0602		0.4189
369	0.3549		0.3918
409	-0.1738		0.4222
449	-0.4870		0.3983
489	-0.4258		0.4248
529	-0.2238		0.4131
569	-0.6298		0.4150
609	0.0645		0.4074
649	-0.0556		0.3948
689	0.2494		0.3781
729	-0.2114		0.3842
769	-0.1651		0.3550
809	0.4814		0.3733
849	-0.8034		0.3823
889	-1.1595		0.4052
929	-0.4429		0.3772
969	0.2106		0.4090
1009	0.1070		0.3760
1049	-0.0962		0.3844
1089	-0.5755		0.3700




























































































































































































































































































































































































































































































































































































































































































































































































































































































